word1,word2,similar
car,automobile,True
big,large,True
small,tiny,True
happy,joyful,True
sad,unhappy,True
smart,intelligent,True
quick,fast,True
angry,mad,True
child,kid,True
house,home,True
purchase,buy,True
begin,start,True
end,finish,True
doctor,physician,True
lawyer,attorney,True
ocean,sea,True
shout,yell,True
sick,ill,True
beautiful,pretty,True
large,huge,True
ground,earth,True
vacation,holiday,True
job,work,True
teacher,instructor,True
student,pupil,True
car,banana,False
book,cloud,False
river,shoe,False
dog,pencil,False
music,stone,False
sun,chair,False
computer,apple,False
mountain,carpet,False
phone,grass,False
table,rain,False
ocean,oven,False
bird,window,False
milk,bottle,False
cat,computer,False
tree,shirt,False
horse,door,False
mirror,river,False
bed,ice,False
bread,map,False
carrot,lamp,False
train,leaf,False
cup,planet,False
plane,sock,False
road,pillow,False
shoe,moon,False
